track_name,track_artist,playlist_genre,track_popularity
Wants and Needs (feat. Lil Baby),"Drake, Lil Baby",hip-hop,73
Jimmy Cooks (feat. 21 Savage),"Drake, 21 Savage",hip-hop,80
"Crazy Story, Pt. 3",King Von,hip-hop,75
Pure Cocaine,Lil Baby,hip-hop,77
Ambition For Cash,Key Glock,hip-hop,73
family ties (with Kendrick Lamar),"Baby Keem, Kendrick Lamar",hip-hop,79
Glock In My Lap,"21 Savage, Metro Boomin",hip-hop,80
3 Headed Goat (feat. Lil Baby & Polo G),"Lil Durk, Lil Baby, Polo G",hip-hop,68
Run It Up (feat. Offset & Moneybagg Yo),"Lil Tjay, Offset, Moneybagg Yo",hip-hop,71
EVERY CHANCE I GET (feat. Lil Baby & Lil Durk),"DJ Khaled, Lil Baby, Lil Durk",hip-hop,70
Sticky,Drake,hip-hop,68
Mask Off,Future,hip-hop,81
On Me,Lil Baby,hip-hop,70
N95,Kendrick Lamar,hip-hop,75
Rich Nigga Shit (feat. Young Thug),"21 Savage, Metro Boomin, Young Thug",hip-hop,75
Surround Sound (feat. 21 Savage & Baby Tate),"JID, 21 Savage, Baby Tate",hip-hop,78
Imagina esse Cenário,"Matuê, Veigh",hip-hop,75
Yes Indeed,"Lil Baby, Drake",hip-hop,75
Wake Up & Bake Up,"Duki, Wiz Khalifa, Arcángel",hip-hop,72
M4,"Teto, Matuê",hip-hop,68
Diablita (feat. Anuel AA & Baby Rasta),"Trap Capos, Noriel, Anuel AA, Baby Rasta",hip-hop,70
Tessera sanitaria (feat. Nerissima Serpe & Papa V),"Night Skinny, Nerissima Serpe, Papa V",hip-hop,69
Bad and Boujee (feat. Lil Uzi Vert),"Migos, Lil Uzi Vert",hip-hop,70
That Go! (feat. T-Shyne),"Young Stoner Life, Young Thug, Meek Mill, T-Shyne",hip-hop,72
Me Acostumbre (feat. Bad Bunny),"Arcángel, Bad Bunny",hip-hop,68
Like That,"Future, Metro Boomin, Kendrick Lamar",hip-hop,83
Castlevania,Matuê,hip-hop,70
We Paid (feat. 42 Dugg),"Lil Baby, 42 Dugg",hip-hop,70
Brindis,"Duki, Headie One",hip-hop,73
Pa Ti,"Bad Bunny, Bryant Myers",hip-hop,72
Amigos y Enemigos (feat. Bad Bunny & Almighty) - Remix,"Trap Capos, Noriel, Bad Bunny, Almighty",hip-hop,70
Tu Me Enamoraste - Remix,"Lary Over, Anuel, Bryant Myers, Almighty, Brytiago",hip-hop,69
Nena Maldición (feat. Lenny Tavárez),"Paulo Londra, Lenny Tavárez",hip-hop,73
PUFFIN ON ZOOTIEZ,Future,hip-hop,77
1993,Matuê,hip-hop,73
Going Bad (feat. Drake),"Meek Mill, Drake",hip-hop,74
Un Día Más,"Duki, YSY A",hip-hop,71
De las 2 (feat. Bad Bunny & Arcángel),"Trap Capos, Noriel, Bad Bunny, Arcángel",hip-hop,69
Un Ratito Mas,"Bryant Myers, Bad Bunny",hip-hop,68
CANZONE D'ODIO (feat. Lil Baby),"Lazza, Lil Baby",hip-hop,73
Deus Perdoa,"Filipe Ret, Dallass, Hunter",hip-hop,68
Solo,Future,hip-hop,80
Cómo Le Digo,"KHEA, Omar Varela, Asan",hip-hop,68
Maturidade,"KayBlack, Wall Hein, AMUSIK",hip-hop,70
Problemas de um Milionário,"WIU, Teto",hip-hop,70
BOOKER T,Bad Bunny,hip-hop,72
SICKO MODE,Travis Scott,hip-hop,81
Too Many Nights (feat. Don Toliver & with Future),"Metro Boomin, Future, Don Toliver",hip-hop,82
Me Ama Me Odia,"Revol, Ozuna, Cosculluela, Arcángel, Brytiago",hip-hop,71
Hm Hm hm,Youka,afrobeats,68
Kese (Dance),Wizkid,afrobeats,75
Awuke,"Davido, YG Marley",afrobeats,76
Favourite Girl (with Rema),"Darkoo, Rema",afrobeats,68
Piece of My Heart (feat. Brent Faiyaz),"Wizkid, Brent Faiyaz",afrobeats,77
PUSH 2 START,Tyla,afrobeats,78
Fi Kan We Kan,"Bnxn, Rema",afrobeats,71
MMS,"Asake, Wizkid",afrobeats,72
Después De La 1,"Cris Mj, FloyyMenor, LOUKI",latin,86
Imagínate,"Danny Ocean, Kapo",latin,76
Kamikaze (feat. Victor Mendivil),"Natanael Cano, Uriel Gaxiola, Ganggy, Victor Mendivil",latin,72
NEL,Fuerza Regida,latin,88
DEPORTIVO,"Blessd, Anuel AA",latin,72
SEXO ES LA MODA,"Maria Becerra, Yandel",latin,74
Khé?,"Rauw Alejandro, Romeo Santos",latin,78
Ferxxoko,"Joyce Santana, Feid",latin,72
Nueva Era,"Duki, Myke Towers",latin,82
PELIGROSA,FloyyMenor,latin,81
Morena Canela,Chino Pacas,latin,79
DURO,Quevedo,latin,76
PIÉNSALO,Junior H,latin,84
EN MI MUNDO,"Jasiel Nuñez, Peso Pluma",latin,75
Soltera,Shakira,latin,86
SE ME OLVIDA,"Maisak, Feid",latin,84
Hecha Pa' Mí,Grupo Frontera,latin,82
SE TE NOTA (feat. Peso Pluma),"Myke Towers, Peso Pluma",latin,72
EL LOKERON,Tito Double P,latin,89
Ese Vato No Te Queda,"Carin Leon, Gabito Ballesteros",latin,75
Cholo 7,"Fuerza Regida, Luis R Conriquez",latin,75
KINTSUGI,HUMBE,latin,80
UWAIE,Kapo,latin,86
IA,"Clarent, Mora",latin,80
Siento que merezco más,LATIN MAFIA,latin,73
AY MAMÁ,"Tito Double P, Grupo Frontera",latin,85
En Otra Vida,"Yami Safdie, Lasso",latin,79
No Son Doritos,"Clave Especial, Luis R Conriquez",latin,81
Frente al Mar,Beéle,latin,79
Soltera - W Sound 01,"W Sound, Blessd, Ovy On The Drums",latin,82
DOS DÍAS,"Tito Double P, Peso Pluma",latin,88
NO PIERDO LA VIDA,"Calle 24, Chuyin",latin,77
Como Pacman,"Alemán, Gera MX",latin,68
Rey Sin Reina,Julión Álvarez y su Norteño Banda,latin,85
JACKPOT,"Belinda, Kenia OS",latin,73
noviogangsta <3,Emilia,latin,77
Bandoleros,"Don Omar, Tego Calderón",latin,68
Rucón,Alemán,latin,69
"Raataan Lambiyan (From ""Shershaah"")","Tanishk Bagchi, Jubin Nautiyal, Asees Kaur",indian,70
"Ranjha (From ""Shershaah"")","Jasleen Royal, B Praak, Romy, Anvita Dutt",indian,68
Shayad,"Pritam, Arijit Singh",indian,73
Agar Tum Saath Ho,"Alka Yagnik, Arijit Singh",indian,70
Khairiyat,"Pritam, Arijit Singh",indian,71
505,Arctic Monkeys,rock,84
Heads Will Roll,Yeah Yeah Yeahs,rock,68
Instant Crush (feat. Julian Casablancas),"Daft Punk, Julian Casablancas",rock,74
Are You Gonna Be My Girl,Jet,rock,72
Time to Pretend,MGMT,rock,73
Feel It Still,Portugal. The Man,rock,81
misses,Dominic Fike,rock,80
Wasted Summers,juju<3,rock,78
Feel It - From The Original Series “Invincible”,d4vd,rock,78
The Adults Are Talking,The Strokes,rock,77
3 Nights,Dominic Fike,rock,77
This Charming Man - 2011 Remaster,The Smiths,rock,77
Oysters In My Pocket,Royel Otis,rock,76
Fluorescent Adolescent,Arctic Monkeys,rock,76
You Get What You Give,New Radicals,rock,74
THE SHADE,Rex Orange County,rock,74
Vampire Empire,Big Thief,rock,73
Her,The American Dawn,rock,73
Not Strong Enough,"boygenius, Julien Baker, Phoebe Bridgers, Lucy Dacus",rock,72
Hell N Back,Bakar,rock,71
Ghostride,Crumb,rock,71
Someday,The Strokes,rock,69
Metamodernity,Vansire,rock,69
Breezeblocks,alt-J,rock,68
ROCKMAN,Mk.gee,rock,68
The Gambler,Kenny Rogers,country,73
Amarillo By Morning,George Strait,country,70
Mammas Don't Let Your Babies Grow up to Be Cowboys,"Waylon Jennings, Willie Nelson",country,68
Open Arms (feat. Travis Scott),"SZA, Travis Scott",r&b,80
Pink + White,Frank Ocean,r&b,87
Best Part (feat. H.E.R.),"Daniel Caesar, H.E.R.",r&b,84
My Boo,"USHER, Alicia Keys",r&b,79
Sure Thing,Miguel,r&b,85
Snooze,SZA,r&b,86
If I Ain't Got You,Alicia Keys,r&b,81
Poison,Brent Faiyaz,r&b,78
Family Affair,Mary J. Blige,r&b,78
With You,Chris Brown,r&b,74
Broken Clocks,SZA,r&b,80
Girl With The Tattoo Enter.lewd,Miguel,r&b,79
Best Time,Brent Faiyaz,r&b,80
Could've Been (feat. Bryson Tiller),"H.E.R., Bryson Tiller",r&b,75
Foolish,Ashanti,r&b,72
Fallin',Alicia Keys,r&b,76
Nobody Gets Me,SZA,r&b,84
Clouded,Brent Faiyaz,r&b,78
So Sick,Ne-Yo,r&b,78
The Boy Is Mine,"Brandy, Monica",r&b,73
Yo (Excuse Me Miss),Chris Brown,r&b,71
Kill Bill,SZA,r&b,86
Forever Yours,Brent Faiyaz,r&b,77
No One,Alicia Keys,r&b,76
Hey Daddy (Daddy's Home),USHER,r&b,76
Sativa,"Jhené Aiko, Swae Lee",r&b,76
Always On Time,"Ja Rule, Ashanti",r&b,72
ALL MINE,Brent Faiyaz,r&b,76
Heart Of A Woman,Summer Walker,r&b,74
U Remind Me,USHER,r&b,69
Stay Ready (What A Life),"Jhené Aiko, Kendrick Lamar",r&b,75
Love Galore (feat. Travis Scott),"SZA, Travis Scott",r&b,77
Been Away,Brent Faiyaz,r&b,75
No Love (with SZA),"Summer Walker, SZA",r&b,72
Burn,USHER,r&b,70
Miss Independent,Ne-Yo,r&b,77
Let Me Love You,Mario,r&b,75
Upset (feat. Tommy Richman & FELIX!),"Brent Faiyaz, FELIX!, Tommy Richman",r&b,75
Nights Like This (feat. Ty Dolla $ign),"Kehlani, Ty Dolla $ign",r&b,73
U Got It Bad,USHER,r&b,69
You,"Lloyd, Lil Wayne",r&b,73
Because Of You,Ne-Yo,r&b,74
Trust,Brent Faiyaz,r&b,75
Dilemma,"Nelly, Kelly Rowland",r&b,77
Love in This Club (feat. Young Jeezy),"USHER, Jeezy",r&b,74
Adorn,Miguel,r&b,68
The Weekend,SZA,r&b,73
Rehab (Winter In Paris),Brent Faiyaz,r&b,71
Language,"Paperboy Fabe, Brent Faiyaz",r&b,77
Confessions Part II,USHER,r&b,68
Something Just Like This,"The Chainsmokers, Coldplay",electronic,86
Give Me Everything (feat. Nayer),"Pitbull, AFROJACK, Ne-Yo, Nayer",electronic,84
Outside (feat. Ellie Goulding),"Calvin Harris, Ellie Goulding",electronic,82
The Nights,Avicii,electronic,82
Ride It,Regard,electronic,80
Cheerleader (Felix Jaehn Remix) - Radio Edit,"OMI, Felix Jaehn",electronic,80
Closer,"The Chainsmokers, Halsey",electronic,84
Faded,Alan Walker,electronic,80
Summer,Calvin Harris,electronic,81
In My Mind,"Dynoro, Gigi D'Agostino",electronic,80
Timber,"Pitbull, Kesha",electronic,82
Titanium (feat. Sia),"David Guetta, Sia",electronic,80
I Took A Pill In Ibiza - Seeb Remix,"Mike Posner, Seeb",electronic,79
Sugar (feat. Francesco Yates),"Robin Schulz, Francesco Yates",electronic,78
Waiting For Love,Avicii,electronic,78
On The Floor,"Jennifer Lopez, Pitbull",electronic,78
Don't Let Me Down,"The Chainsmokers, Daya",electronic,80
Blame (feat. John Newman),"Calvin Harris, John Newman",electronic,79
Wild Ones (feat. Sia),"Flo Rida, Sia",electronic,77
Get Lucky (Radio Edit) [feat. Pharrell Williams and Nile Rodgers],"Daft Punk, Pharrell Williams, Nile Rodgers",electronic,77
More Than You Know,Axwell /\ Ingrosso,electronic,77
In the Name of Love,"Martin Garrix, Bebe Rexha",electronic,77
This Girl (Kungs Vs. Cookin' On 3 Burners),"Kungs, Cookin' On 3 Burners",electronic,76
Scream & Shout,"will.i.am, Britney Spears",electronic,76
This Is What You Came For,"Calvin Harris, Rihanna",electronic,77
Alors on danse - Radio Edit,Stromae,electronic,75
We Found Love,"Rihanna, Calvin Harris",electronic,75
Waves - Robin Schulz Radio Edit,"Mr. Probz, Robin Schulz",electronic,75
Club Can't Handle Me (feat. David Guetta),"Flo Rida, David Guetta",electronic,76
Under Control (feat. Hurts),"Calvin Harris, Alesso, Hurts",electronic,76
Dancin (feat. Luvli) - Krono Remix,"Aaron Smith, Krono, Luvli",electronic,75
One More Time,Daft Punk,electronic,74
Firestone,"Kygo, Conrad Sewell",electronic,74
Perfect Strangers,"Jonas Blue, JP Cooper",electronic,74
Love Tonight (David Guetta Remix Edit),"Shouse, David Guetta",electronic,74
Runaway (U & I),Galantis,electronic,74
Middle,"DJ Snake, Bipolar Sunshine",electronic,73
Infinity 2008 - Klaas Vocal Edit,"Guru Josh Project, Klaas",electronic,73
King,Olly Alexander (Years & Years),electronic,73
Clarity,"Zedd, Foxes",electronic,73
"Hey Mama (feat. Nicki Minaj, Bebe Rexha & Afrojack)","David Guetta, AFROJACK, Bebe Rexha, Nicki Minaj",electronic,73
Ain't Nobody (Loves Me Better) (feat. Jasmine Thompson),"Felix Jaehn, Jasmine Thompson",electronic,73
Hear Me Now,"Alok, Zeeba, Bruno Martini",electronic,73
ily (i love you baby) (feat. Emilee),"Surf Mesa, Emilee",electronic,73
Summertime Sadness (Lana Del Rey Vs. Cedric Gervais) - Cedric Gervais Remix,"Lana Del Rey, Cedric Gervais",electronic,72
Dynamite,Taio Cruz,electronic,72
Rather Be (feat. Jess Glynne),"Clean Bandit, Jess Glynne",electronic,72
Breaking Me,"Topic, A7S",electronic,72
The Business,Tiësto,electronic,72
Stay,"Zedd, Alessia Cara",electronic,73
Party Rock Anthem,"LMFAO, Lauren Bennett, GoonRock",electronic,72
Roses,"The Chainsmokers, ROZES",electronic,71
I Love It (feat. Charli XCX),"Icona Pop, Charli xcx",electronic,71
Play Hard (feat. Ne-Yo & Akon),"David Guetta, Ne-Yo, Akon",electronic,71
Around the World,Daft Punk,electronic,71
This Is What It Feels Like,"Armin van Buuren, Trevor Guthrie",electronic,70
I'm an Albatraoz,"AronChupa, Little Sis Nora",electronic,70
Heroes (we could be),"Alesso, Tove Lo",electronic,70
You & Me - Flume Remix,"Disclosure, Eliza Doolittle, Flume",electronic,70
Let Me Go,Daniel Caesar,soul,70
FE!N (feat. Playboi Carti),"Travis Scott, Playboi Carti",gaming,88
Slow It Down,Benson Boone,gaming,87
Big Dawgs,"Hanumankind, Kalmi",gaming,85
I'm Good (Blue),"David Guetta, Bebe Rexha",gaming,85
Romantic Homicide,d4vd,gaming,85
New Woman (feat. ROSALÍA),"LISA, ROSALÍA",gaming,85
i like the way you kiss me,Artemas,gaming,84
Ransom,Lil Tecca,gaming,84
KEEP UP,Odetari,gaming,84
one of wun,Gunna,gaming,84
I Adore You (feat. Daecolm),"HUGEL, Topic, Arash, Daecolm",gaming,83
Black Friday (pretty like the sun),"Lost Frequencies, Tom Odell",gaming,83
I Can Do It With a Broken Heart,Taylor Swift,gaming,83
Apple,Charli xcx,gaming,83
Hope,XXXTENTACION,gaming,82
Happier,"Marshmello, Bastille",gaming,82
Sunflower - Spider-Man: Into the Spider-Verse,"Post Malone, Swae Lee",gaming,82
fukumean,Gunna,gaming,82
redrum,21 Savage,gaming,81
WAIT FOR U (feat. Drake & Tems),"Future, Drake, Tems",gaming,82
Miles On It,"Marshmello, Kane Brown",gaming,81
Moonlight,XXXTENTACION,gaming,81
Godzilla (feat. Juice WRLD),"Eminem, Juice WRLD",gaming,81
Addicted,"Zerb, The Chainsmokers, Ink",gaming,81
on one tonight,Gunna,gaming,82
Thank You (Not So Bad),"Dimitri Vegas & Like Mike, Tiësto, Dido, W&W, Dimitri Vegas, Like Mike",gaming,81
360,Charli xcx,gaming,81
Houdini,Eminem,gaming,81
The Box,Roddy Ricch,gaming,81
Lovin On Me,Jack Harlow,gaming,81
XO Tour Llif3,Lil Uzi Vert,gaming,81
Where Are You Now,"Lost Frequencies, Calum Scott",gaming,81
2055,Sleepy Hallow,gaming,80
Mood (feat. iann dior),"24kGoldn, iann dior",gaming,80
SLAY!,Eternxlkz,gaming,80
You & Me - Rivo Remix,"Disclosure, Eliza Doolittle, Rivo",gaming,79
Sprinter,"Dave, Central Cee",gaming,79
Somedays,"Sonny Fodera, Jazzy, D.O.D",gaming,79
Back On 74,Jungle,gaming,79
DEVIL IS A LIE,Tommy Richman,gaming,78
Whatever She Wants,Bryson Tiller,gaming,78
euphoria,Kendrick Lamar,gaming,78
Push Up - Main Edit,Creeds,gaming,77
Strangers,Kenya Grace,gaming,77
BACKBONE,"Chase & Status, Stormzy",gaming,77
FUNKED UP - SLOWED,"xxanteria, isq",gaming,77
Montagem Mysterious Game,LXNGVX,gaming,77
TUCA DONKA,"CURSEDEVIL, DJ FKU, Skorde",gaming,77
Paint The Town Red,Doja Cat,gaming,77
MONTAGEM - PR FUNK,"S3BZS, Mc Gw, Mc Menor Do Alvorada",gaming,77
Doja,Central Cee,gaming,77
Somebody (2024),"Gotye, FISHER, Chris Lake, Kimbra, Sante Sansone",gaming,77
Whatever,"Kygo, Ava Max",gaming,76
ONE CALL,Rich Amiri,gaming,76
IDGAF (feat. Yeat),"Drake, Yeat",gaming,76
Deep Down (feat. Never Dull),"Alok, Ella Eyre, Kenny Dope, Never Dull",gaming,76
Agora Hills,Doja Cat,gaming,76
CUTE DEPRESSED,Dyan Dxddy,gaming,76
BRODYAGA FUNK,Eternxlkz,gaming,75
LOVELY BASTARDS,"ZWE1HVNDXR, yatashigang",gaming,75
Boyz In Paris (with VINAI),"Marnik, Naeleck, VINAI",gaming,75
