name,genre,score,star
Fort Apache the Bronx,Crime,6.7,Paul Newman
Eyes of a Stranger,Horror,6.0,Lauren Tewes
Zorro: The Gay Blade,Action,6.2,George Hamilton
Under the Rainbow,Comedy,5.4,Chevy Chase
Carbon Copy,Comedy,5.6,George Segal
The Incredible Shrinking Woman,Comedy,5.5,Lily Tomlin
The Night the Lights Went Out in Georgia,Drama,6.0,Kristy McNichol
Quartet,Drama,6.3,Isabelle Adjani
Graduation Day,Horror,4.9,Christopher George
Modern Problems,Comedy,5.1,Chevy Chase
Pennies from Heaven,Drama,6.5,Steve Martin
American Pop,Animation,7.2,Mews Small
The Legend of the Lone Ranger,Action,5.1,Klinton Spilsbury
Sphinx,Adventure,5.2,Lesley-Anne Down
Night School,Horror,5.6,Leonard Mann
An Eye for an Eye,Action,5.5,Chuck Norris
Zoot Suit,Drama,6.8,Daniel Valdez
Rich and Famous,Drama,5.9,Jacqueline Bisset
Buddy Buddy,Comedy,6.5,Jack Lemmon
Bustin' Loose,Comedy,6.1,Richard Pryor
Modern Romance,Comedy,7.0,Albert Brooks
Heartbeeps,Comedy,4.3,Andy Kaufman
Back Roads,Adventure,5.6,Sally Field
Take This Job and Shove It,Comedy,5.0,Robert Hays
Raggedy Man,Drama,6.8,Sissy Spacek
Whose Life Is It Anyway?,Comedy,7.3,Richard Dreyfuss
Inchon,Drama,2.7,Laurence Olivier
All Night Long,Comedy,5.5,Gene Hackman
The Pursuit of D.B. Cooper,Adventure,5.6,Robert Duvall
Rollover,Drama,5.4,Jane Fonda
Only When I Laugh,Comedy,6.5,Marsha Mason
Honky Tonk Freeway,Action,5.2,David Rasche
Paternity,Comedy,4.9,Burt Reynolds
King of the Mountain,Action,5.5,Harry Hamlin
Scream,Horror,2.9,Pepper Martin
The Devil and Max Devlin,Comedy,5.0,Elliott Gould
The Amateur,Crime,5.8,John Savage
Longshot,Comedy,5.1,Leif Garrett
Comin' at Ya!,Western,5.1,Tony Anthony
Le Pont du Nord,Adventure,6.9,Bulle Ogier
Silence of the North,Drama,6.3,Ellen Burstyn
Fast Times at Ridgemont High,Comedy,7.2,Sean Penn
Blade Runner,Action,8.1,Harrison Ford
The Thing,Horror,8.1,Kurt Russell
Conan the Barbarian,Action,6.9,Arnold Schwarzenegger
E.T. the Extra-Terrestrial,Family,7.8,Henry Thomas
First Blood,Action,7.7,Sylvester Stallone
An Officer and a Gentleman,Drama,7.0,Richard Gere
Grease 2,Comedy,4.4,Michelle Pfeiffer
Annie,Comedy,6.6,Aileen Quinn
Poltergeist,Horror,7.3,JoBeth Williams
48 Hrs.,Action,6.9,Nick Nolte
Star Trek II: The Wrath of Khan,Action,7.7,William Shatner
Paradise,Adventure,4.9,Willie Aames
The Last American Virgin,Comedy,6.3,Lawrence Monoson
Sophie's Choice,Drama,7.6,Meryl Streep
Gandhi,Biography,8.0,Ben Kingsley
Tootsie,Comedy,7.4,Dustin Hoffman
Tron,Action,6.8,Jeff Bridges
The Secret of NIMH,Animation,7.6,Elizabeth Hartman
The King of Comedy,Comedy,7.8,Robert De Niro
Rocky III,Drama,6.8,Sylvester Stallone
The Beastmaster,Action,6.2,Marc Singer
Creepshow,Comedy,6.9,Hal Holbrook
The Man from Snowy River,Adventure,7.3,Kirk Douglas
Pink Floyd: The Wall,Drama,8.0,Bob Geldof
Cat People,Fantasy,6.2,Nastassja Kinski
Fanny and Alexander,Drama,8.1,Bertil Guve
Friday the 13th Part III,Horror,5.7,Dana Kimmell
Firefox,Action,6.0,Clint Eastwood
Halloween III: Season of the Witch,Horror,5.0,Tom Atkins
The Dark Crystal,Adventure,7.2,Jim Henson
The Verdict,Drama,7.7,Paul Newman
Pieces,Horror,6.1,Christopher George
Zapped!,Comedy,4.9,Scott Baio
Six Pack,Comedy,5.9,Kenny Rogers
The World According to Garp,Comedy,7.2,Robin Williams
Diner,Comedy,7.1,Steve Guttenberg
The Best Little Whorehouse in Texas,Comedy,6.0,Burt Reynolds
The Year of Living Dangerously,Drama,7.1,Mel Gibson
Night Shift,Comedy,6.6,Henry Winkler
Summer Lovers,Comedy,5.7,Peter Gallagher
Victor Victoria,Comedy,7.6,Julie Andrews
The Last Unicorn,Animation,7.4,Jeff Bridges
The Entity,Drama,6.7,Barbara Hershey
Airplane II: the Sequel,Comedy,6.2,Robert Hays
The Toy,Comedy,5.8,Richard Pryor
The House on Sorority Row,Horror,6.0,Kate McNeil
Evil Under the Sun,Crime,7.1,Peter Ustinov
The Sword and the Sorcerer,Action,5.6,Lee Horsley
Death Wish II,Action,6.0,Charles Bronson
Silent Rage,Action,5.5,Chuck Norris
Megaforce,Action,3.7,Barry Bostwick
Personal Best,Drama,6.3,Mariel Hemingway
Dead Men Don't Wear Plaid,Comedy,6.9,Steve Martin
Amityville II: The Possession,Horror,5.5,James Olson
Missing,Biography,7.7,Jack Lemmon
Frances,Biography,7.3,Jessica Lange
The Seduction,Thriller,4.9,Morgan Fairchild
Cannery Row,Comedy,6.7,Nick Nolte
Deathtrap,Comedy,7.0,Michael Caine
Tex,Drama,6.5,Matt Dillon
Time Walker,Horror,3.6,Ben Murphy
"I, the Jury",Crime,5.9,Armand Assante
Tempest,Comedy,6.5,John Cassavetes
Young Doctors in Love,Comedy,5.5,Michael McKean
My Favorite Year,Comedy,7.4,Peter O'Toole
Still of the Night,Crime,6.1,Roy Scheider
Parasite,Horror,3.9,Robert Glaudini
Making Love,Drama,6.9,Michael Ontkean
Honkytonk Man,Comedy,6.6,Clint Eastwood
The Beast Within,Horror,5.6,Ronny Cox
"Come Back to the 5 & Dime Jimmy Dean, Jimmy Dean",Comedy,7.2,Cher
The Final Option,Action,6.4,Lewis Collins
Trail of the Pink Panther,Comedy,5.0,Peter Sellers
The Sender,Drama,6.0,Kathryn Harrold
The Border,Crime,6.4,Jack Nicholson
Kiss Me Goodbye,Comedy,6.0,Sally Field
A Midsummer Night's Sex Comedy,Comedy,6.6,Woody Allen
Vice Squad,Action,6.5,Season Hubley
Best Friends,Comedy,5.5,Burt Reynolds
Shoot the Moon,Drama,6.9,Albert Finney
Lookin' to Get Out,Comedy,5.1,Jon Voight
Barbarosa,Western,6.4,Willie Nelson
Visiting Hours,Horror,5.7,Michael Ironside
A Little Sex,Comedy,4.9,Tim Matheson
Class Reunion,Comedy,4.7,Gerrit Graham
Hanky Panky,Action,5.6,Gene Wilder
Author! Author!,Comedy,6.2,Al Pacino
Split Image,Drama,6.5,Michael O'Keefe
The Challenge,Action,6.3,Scott Glenn
The Soldier,Action,5.3,Ken Wahl
Wrong Is Right,Comedy,5.7,Sean Connery
Six Weeks,Drama,5.7,Dudley Moore
The State of Things,Drama,7.0,Allen Garfield
Jekyll and Hyde... Together Again,Sci-Fi,6.2,Mark Blankfield
Forced Vengeance,Action,5.6,Chuck Norris
The Missionary,Comedy,6.2,Michael Palin
The Escape Artist,Comedy,6.2,Raul Julia
Night Crossing,Drama,6.5,John Hurt
Endangered Species,Drama,5.9,Robert Urich
Things Are Tough All Over,Action,6.0,Toni Attell
Homework,Comedy,3.5,Joan Collins
Jinxed!,Comedy,4.7,Bette Midler
The Return of Martin Guerre,Biography,7.4,Gérard Depardieu
They Call Me Bruce,Action,5.7,Johnny Yune
Some Kind of Hero,Comedy,5.8,Richard Pryor
Hammett,Crime,6.5,Frederic Forrest
Five Days One Summer,Drama,6.1,Sean Connery
Penitentiary II,Crime,4.4,Leon Isaac Kennedy
If You Could See What I Hear,Biography,6.8,Marc Singer
Partners,Comedy,5.3,Ryan O'Neal
Richard Pryor: Live on the Sunset Strip,Comedy,7.7,Richard Pryor
Bugs Bunny's 3rd Movie: 1001 Rabbit Tales,Animation,7.1,Mel Blanc
Monsignor,Crime,5.1,Christopher Reeve
"Yes, Giorgio",Comedy,3.9,Luciano Pavarotti
I Ought to Be in Pictures,Comedy,6.2,Walter Matthau
La traviata,Drama,7.2,Teresa Stratas
Fighting Back,Action,6.1,Tom Skerritt
Kamikaze 89,Sci-Fi,5.8,Rainer Werner Fassbinder
The Wizard of Oz,Animation,6.8,Aileen Quinn
Heidi's Song,Animation,6.3,Lorne Greene
Love Child,Crime,5.7,Amy Madigan
Boardinghouse,Comedy,3.8,John Wintergate
Experience Preferred... But Not Essential,Drama,7.0,Elizabeth Edmonds
The Personals,Comedy,6.7,Bill Schoppert
Lonely Hearts,Comedy,6.8,Wendy Hughes
Scarface,Crime,8.3,Al Pacino
The Outsiders,Crime,7.1,C. Thomas Howell
Star Wars: Episode VI - Return of the Jedi,Action,8.3,Mark Hamill
Risky Business,Comedy,6.8,Tom Cruise
National Lampoon's Vacation,Adventure,7.4,Chevy Chase
Trading Places,Comedy,7.5,Eddie Murphy
Superman III,Action,5.0,Christopher Reeve
The Big Chill,Comedy,7.2,Tom Berenger
Staying Alive,Drama,4.7,John Travolta
Jaws 3-D,Adventure,3.7,Dennis Quaid
Christine,Horror,6.7,Keith Gordon
Sleepaway Camp,Horror,6.3,Felissa Rose
Flashdance,Drama,6.2,Jennifer Beals
WarGames,Action,7.1,Matthew Broderick
The Right Stuff,Adventure,7.8,Sam Shepard
Krull,Action,6.1,Ken Marshall
Spring Break,Comedy,4.9,David Knell
The Dead Zone,Drama,7.2,Christopher Walken
Octopussy,Action,6.5,Roger Moore
Private School,Comedy,5.3,Phoebe Cates
Valley Girl,Comedy,6.4,Nicolas Cage
Rumble Fish,Crime,7.2,Matt Dillon
Videodrome,Horror,7.2,James Woods
Terms of Endearment,Comedy,7.4,Shirley MacLaine
Twilight Zone: The Movie,Horror,6.5,Dan Aykroyd
Never Say Never Again,Action,6.2,Sean Connery
A Christmas Story,Comedy,7.9,Peter Billingsley
Cujo,Horror,6.1,Dee Wallace
Sudden Impact,Action,6.6,Clint Eastwood
The Hunger,Drama,6.7,Catherine Deneuve
Mr. Mom,Comedy,6.6,Michael Keaton
Blue Thunder,Action,6.4,Roy Scheider
Breathless,Action,5.9,Richard Gere
Psycho II,Crime,6.5,Anthony Perkins
Local Hero,Comedy,7.4,Burt Lancaster
Bad Boys,Crime,7.2,Sean Penn
Silkwood,Biography,7.2,Meryl Streep
All the Right Moves,Drama,5.9,Tom Cruise
The Keep,Drama,5.7,Scott Glenn
My Tutor,Comedy,5.2,Matt Lattanzi
Yentl,Drama,6.6,Barbra Streisand
Fire and Ice,Animation,6.6,Randy Norton
Eddie and the Cruisers,Drama,6.9,Tom Berenger
Yellowbeard,Action,6.0,Graham Chapman
The Meaning of Life,Comedy,7.5,John Cleese
Nostalghia,Drama,8.1,Oleg Yankovskiy
Hot Dog... The Movie,Comedy,5.0,David Naughton
Smokey and the Bandit Part 3,Action,3.5,Jackie Gleason
Deathstalker,Action,4.6,Rick Hill
Porky's II: The Next Day,Comedy,5.0,Dan Monahan
Something Wicked This Way Comes,Fantasy,6.8,Jason Robards
Tender Mercies,Drama,7.4,Robert Duvall
Star 80,Biography,6.7,Mariel Hemingway
Gorky Park,Crime,6.7,William Hurt
Lone Wolf McQuade,Action,6.3,Chuck Norris
Easy Money,Comedy,6.3,Rodney Dangerfield
Merry Christmas Mr. Lawrence,Drama,7.3,David Bowie
Losin' It,Comedy,4.9,Tom Cruise
Screwballs,Comedy,4.7,Peter Keleghan
Brainstorm,Sci-Fi,6.4,Christopher Walken
The Man with Two Brains,Comedy,6.4,Steve Martin
Angel,Action,5.7,Cliff Gorman
10 to Midnight,Crime,6.3,Charles Bronson
Uncommon Valor,Action,6.4,Gene Hackman
Doctor Detroit,Comedy,5.2,Dan Aykroyd
Mortuary,Horror,5.2,Mary Beth McDonough
Stroker Ace,Action,4.9,Burt Reynolds
Sahara,Adventure,5.0,Brooke Shields
Two of a Kind,Comedy,4.7,John Travolta
Chained Heat,Action,5.0,Linda Blair
Spacehunter: Adventures in the Forbidden Zone,Action,5.5,Peter Strauss
High Road to China,Adventure,6.1,Tom Selleck
Never Cry Wolf,Adventure,7.5,Charles Martin Smith
The Pirates of Penzance,Comedy,7.1,Kevin Kline
Rock & Rule,Animation,6.5,Don Francks
Hercules,Adventure,4.0,Lou Ferrigno
Educating Rita,Comedy,7.2,Michael Caine
A Night in Heaven,Drama,4.3,Christopher Atkins
Under Fire,Drama,7.0,Nick Nolte
Amityville 3-D,Horror,4.1,Tony Roberts
Testament,Drama,7.0,Jane Alexander
The Osterman Weekend,Action,5.9,Rutger Hauer
Revenge of the Ninja,Action,6.1,Shô Kosugi
Zelig,Comedy,7.7,Woody Allen
Independence Day,Drama,6.5,Kathleen Quinlan
Escape from the Bronx,Action,4.6,Mark Gregory
To Be or Not to Be,Comedy,6.8,Mel Brooks
Eureka,Drama,6.0,Gene Hackman
The Wicked Lady,Adventure,4.7,Faye Dunaway
Still Smokin,Comedy,5.6,Cheech Marin
"Yor, the Hunter from the Future",Action,4.4,Reb Brown
Of Unknown Origin,Horror,6.1,Peter Weller
Curse of the Pink Panther,Comedy,4.3,David Niven
D.C. Cab,Action,5.5,Max Gail
Beyond the Limit,Drama,5.7,Michael Caine
The Survivors,Comedy,5.8,Walter Matthau
The Lonely Lady,Drama,3.0,Pia Zadora
The Star Chamber,Crime,6.3,Michael Douglas
The Dresser,Drama,7.6,Albert Finney
The Lords of Discipline,Thriller,6.6,David Keith
Cross Creek,Biography,7.0,Mary Steenburgen
The Man Who Loved Women,Comedy,5.3,Burt Reynolds
Nightmares,Horror,5.8,Cristina Raines
Deal of the Century,Comedy,4.6,Chevy Chase
Eddie Macon's Run,Action,5.7,Kirk Douglas
Max Dugan Returns,Comedy,6.6,Jason Robards
The Sting II,Comedy,4.9,Jackie Gleason
Baby It's You,Comedy,6.3,Rosanna Arquette
Heat and Dust,Drama,6.6,Julie Christie
Going Berserk,Comedy,5.2,John Candy
Daniel,Drama,6.6,Timothy Hutton
Heart Like a Wheel,Biography,6.7,Bonnie Bedelia
Love Letters,Drama,5.9,Jamie Lee Curtis
Get Crazy,Comedy,6.7,Malcolm McDowell
Nate and Hayes,Action,6.2,Tommy Lee Jones
Strange Invaders,Horror,5.5,Paul Le Mat
The Black Stallion Returns,Adventure,6.0,Kelly Reno
Metalstorm: the Destruction of Jared-Syn,Action,3.8,Jeffrey Byron
Getting It on,Comedy,3.7,Martin Yost
Lianna,Drama,6.8,Linda Griffiths
Better Late Than Never,Comedy,5.8,David Niven
Lovesick,Comedy,5.2,Dudley Moore
Running Brave,Biography,6.7,Robby Benson
Exposed,Drama,5.1,Nastassja Kinski
Trenchcoat,Comedy,5.3,Margot Kidder
Stryker,Action,4.3,Steve Sandor
The Man Who Wasn't There,Action,3.8,Steve Guttenberg
Table for Five,Drama,6.1,Jon Voight
Romantic Comedy,Comedy,5.2,Dudley Moore
Young Warriors,Action,4.7,Ernest Borgnine
"Man, Woman and Child",Drama,6.1,Martin Sheen
Hanna K.,Drama,6.3,Jill Clayburgh
Slayground,Crime,4.9,Peter Coyote
White Star,Drama,6.0,Dennis Hopper
Richard Pryor... Here and Now,Comedy,7.3,Richard Pryor
Deadly Force,Action,4.9,Wings Hauser
My Brother's Wedding,Drama,7.2,Everett Silas
Blue Skies Again,Comedy,5.4,Harry Hamlin
Last Plane Out,Action,4.5,Jan-Michael Vincent
Cross Country,Thriller,5.4,Richard Beymer
A Polish Vampire in Burbank,Comedy,5.0,Mark Pirro
Forever Young,Drama,6.7,James Aubrey
The Golden Seal,Drama,5.3,Steve Railsback
The Business of Show Business,History,8.3,
The Terminator,Action,8.0,Arnold Schwarzenegger
Dune,Action,6.5,Kyle MacLachlan
Ghostbusters,Action,7.8,Bill Murray
The Karate Kid,Action,7.3,Ralph Macchio
Once Upon a Time in America,Crime,8.4,Robert De Niro
Police Academy,Comedy,6.7,Steve Guttenberg
Indiana Jones and the Temple of Doom,Action,7.5,Harrison Ford
Body Double,Crime,6.8,Craig Wasson
A Nightmare on Elm Street,Horror,7.5,Heather Langenkamp
Amadeus,Biography,8.3,F. Murray Abraham
Beverly Hills Cop,Action,7.3,Eddie Murphy
Red Dawn,Action,6.4,Patrick Swayze
The NeverEnding Story,Adventure,7.4,Noah Hathaway
Footloose,Drama,6.6,Kevin Bacon
Revenge of the Nerds,Comedy,6.6,Robert Carradine
Gremlins,Comedy,7.3,Zach Galligan
Romancing the Stone,Action,6.9,Michael Douglas
Streets of Fire,Action,6.7,Michael Paré
Sixteen Candles,Comedy,7.0,Molly Ringwald
"Paris, Texas",Drama,8.1,Harry Dean Stanton
This Is Spinal Tap,Comedy,7.9,Rob Reiner
1984,Drama,7.1,John Hurt
Top Secret!,Comedy,7.2,Val Kilmer
Conan the Destroyer,Action,5.9,Arnold Schwarzenegger
Children of the Corn,Horror,5.6,Peter Horton
The Last Starfighter,Action,6.8,Lance Guest
Splash,Comedy,6.3,Tom Hanks
Blood Simple,Crime,7.6,John Getz
The Natural,Drama,7.5,Robert Redford
Bachelor Party,Comedy,6.3,Tom Hanks
Nausicaä of the Valley of the Wind,Animation,8.1,Sumi Shimamoto
Friday the 13th: the Final Chapter,Horror,6.0,Erich Anderson
Hardbodies,Comedy,4.9,Grant Cramer
Against All Odds,Action,5.9,Rachel Ward
Supergirl,Action,4.4,Helen Slater
The Bounty,Adventure,7.0,Mel Gibson
Firestarter,Action,6.1,Drew Barrymore
C.H.U.D.,Horror,5.6,John Heard
The Woman in Red,Comedy,6.0,Gene Wilder
Runaway,Action,5.9,Tom Selleck
The Adventures of Buckaroo Banzai Across the 8th Dimension,Adventure,6.4,Peter Weller
Star Trek III: The Search for Spock,Action,6.7,William Shatner
Repo Man,Action,6.9,Harry Dean Stanton
2010: the Year We Make Contact,Adventure,6.8,Roy Scheider
The Killing Fields,Biography,7.8,Sam Waterston
The Cotton Club,Crime,6.5,Richard Gere
Starman,Romance,7.0,Jeff Bridges
Night of the Comet,Comedy,6.4,Catherine Mary Stewart
Blame It on Rio,Comedy,5.8,Michael Caine
Dreamscape,Action,6.3,Dennis Quaid
Crimes of Passion,Drama,6.4,Kathleen Turner
The Philadelphia Experiment,Adventure,6.1,Michael Paré
Places in the Heart,Drama,7.4,Sally Field
Bolero,Comedy,3.0,Bo Derek
Cannonball Run II,Action,5.1,Burt Reynolds
Stranger Than Paradise,Comedy,7.5,John Lurie
The Ice Pirates,Action,5.7,Robert Urich
A Passage to India,Adventure,7.3,Judy Davis
Purple Rain,Drama,6.5,Prince
The Hotel New Hampshire,Comedy,6.0,Rob Lowe
The Hit,Crime,7.1,Freddie Stuart
Sheena,Adventure,4.9,Tanya Roberts
Missing in Action,Action,5.5,Chuck Norris
"Greystoke: The Legend of Tarzan, Lord of the Apes",Adventure,6.4,Christopher Lambert
The Muppets Take Manhattan,Adventure,6.9,Jim Henson
The Wild Life,Comedy,6.1,Chris Penn
Falling in Love,Drama,6.5,Robert De Niro
Gwendoline,Action,5.3,Tawny Kitaen
Breakin',Comedy,5.8,Lucinda Dickey
Birdy,Drama,7.3,Matthew Modine
The Company of Wolves,Drama,6.7,Sarah Patterson
Ghoulies,Comedy,4.2,Peter Liapis
Electric Dreams,Comedy,6.5,Lenny von Dohlen
Cloak & Dagger,Action,6.6,Henry Thomas
Racing with the Moon,Comedy,6.7,Sean Penn
"Silent Night, Deadly Night",Horror,5.9,Lilyan Chauvin
The Pope of Greenwich Village,Action,6.7,Eric Roberts
All of Me,Comedy,6.7,Steve Martin
"Grandview, U.S.A.",Drama,5.4,Jamie Lee Curtis
Where the Boys Are,Comedy,4.1,Lisa Hartman
Reckless,Comedy,6.3,Aidan Quinn
Tightrope,Crime,6.3,Clint Eastwood
Rhinestone,Comedy,3.9,Sylvester Stallone
The Flamingo Kid,Comedy,6.2,Matt Dillon
Up the Creek,Comedy,5.6,Tim Matheson
Swing Shift,Drama,5.9,Goldie Hawn
Beat Street,Drama,6.5,Rae Dawn Chong
